Year,Area,SubArea,Address,BuildingType,LandArea,Pricepsf,Price,Tenure,BuiltUp,min_dist_airport_10km,min_dist_hospital_2km,min_dist_school_2km,dist_conv_store_2km,dist_train_10km,dist_min_police_2km,dist_bus_500m,no_hospital_2km,no_train_station_10km,no_conv_store_2km,no_manufacturing_1km,no_police_2km,no_bus_station_500m,no_school_1km,Population,CPI,CityArea.km2.,Pop.Density
2015,Selayang,TAMAN SELAYANG JAYA,JALAN SJ 3,TERRACE PLOT - COMMERCIAL USE,2400,260,624000,FREEHOLD,0 ftA2,232.7290519,NA,NA,NA,3522.318746,1631.260679,NA,0,12,0,0,2,0,0,207755.5,114.35,549.33,378.1979866
2015,Selayang,TAMAN SELAYANG JAYA,JALAN SJ 3,TERRACE PLOT - COMMERCIAL USE,2400,260,624000,FREEHOLD,0 ftA2,232.7290519,NA,NA,NA,3522.318746,1631.260679,NA,0,12,0,0,2,0,0,207755.5,114.35,549.33,378.1979866
2015,Selayang,TAMAN SELAYANG JAYA,JALAN SJ 3,TERRACE PLOT - COMMERCIAL USE,2400,260,624000,FREEHOLD,0 ftA2,232.7290519,NA,NA,NA,3522.318746,1631.260679,NA,0,12,0,0,2,0,0,207755.5,114.35,549.33,378.1979866
2015,Selayang,TAMAN SELAYANG JAYA,JALAN SJ 3,TERRACE PLOT - COMMERCIAL USE,2400,260,624000,FREEHOLD,0 ftA2,232.7290519,NA,NA,NA,3522.318746,1631.260679,NA,0,12,0,0,2,0,0,207755.5,114.35,549.33,378.1979866
2015,Selayang,KAWASAN PENEMPATAN INDIA BATU CAVES,INDIAN SETTLEMENT,EMPTY PLOT - DEVELOPMENT PLOT,3150,89,280000,LEASEHOLD,0 ftA2,NA,1931.006835,NA,544.2111778,NA,NA,NA,13,0,19,0,0,0,0,207755.5,114.35,549.33,378.1979866
2016,Selayang,BANDAR BARU SELAYANG,JALAN 3/14A (PUNCAK TEMPLER),DETACHED PLOT - RESIDENTIAL USE,7535,260,1959032,LEASEHOLD,0 ftA2,NA,NA,NA,NA,8082.523669,NA,NA,0,3,0,0,0,0,0,208292,116.18,549.33,379.1746309
2014,Selayang,BANDAR BARU SELAYANG,JALAN 3/14A (PUNCAK TEMPLER),DETACHED PLOT - RESIDENTIAL USE,8751,279,2440000,LEASEHOLD,0 ftA2,NA,NA,NA,NA,8082.523669,NA,NA,0,3,0,0,0,0,0,207219,110.85,549.33,377.2213424
2016,Selayang,TAMAN SELAYANG BARU,JALAN 2,EMPTY PLOT - INDUSTRIAL USE,22301,78,1742436,FREEHOLD,0 ftA2,8393.964892,859.4133913,NA,0,NA,1901.56929,NA,2,0,5,20,1,0,0,208292,116.18,549.33,379.1746309
2017,Semenyih,OFF JALAN SUNGAI LALANG,OFF JALAN SUNGAI LALANG,DEVELOPMENT LAND,187308,6,1119999,FREEHOLD,0 ftA2,7145.391958,1992.513231,NA,1808.810087,4981.943378,NA,380.6373371,1,5,2,1,0,2,0,121681.8,120.25,120,1014.015
2017,Semenyih,OFF JALAN SUNGAI LALANG,OFF JALAN SUNGAI LALANG,AGRICULTURE PLOT,213444,3,641069,FREEHOLD,0 ftA2,7145.391958,1992.513231,NA,1808.810087,4981.943378,NA,380.6373371,1,5,2,1,0,2,0,121681.8,120.25,120,1014.015
2017,Semenyih,OFF JALAN SUNGAI LALANG,OFF JALAN SUNGAI LALANG,EMPTY PLOT - DEVELOPMENT PLOT,291852,6,1900000,FREEHOLD,0 ftA2,7145.391958,1992.513231,NA,1808.810087,4981.943378,NA,380.6373371,1,5,2,1,0,2,0,121681.8,120.25,120,1014.015
2017,Semenyih,DESA SRI HANECO,OFF JALAN SUNGAI LALANG,DETACHED PLOT - RESIDENTIAL USE,4004,48,192200,FREEHOLD,0 ftA2,7145.391958,1992.513231,NA,1808.810087,4981.943378,NA,380.6373371,1,5,2,1,0,2,0,121681.8,120.25,120,1014.015
2017,Semenyih,DESA SRI HANECO,OFF JALAN SUNGAI LALANG,DETACHED PLOT - RESIDENTIAL USE,4004,48,192200,FREEHOLD,0 ftA2,7145.391958,1992.513231,NA,1808.810087,4981.943378,NA,380.6373371,1,5,2,1,0,2,0,121681.8,120.25,120,1014.015
2017,Semenyih,DESA SRI HANECO,OFF JALAN SUNGAI LALANG,DETACHED PLOT - RESIDENTIAL USE,4004,48,192200,FREEHOLD,0 ftA2,7145.391958,1992.513231,NA,1808.810087,4981.943378,NA,380.6373371,1,5,2,1,0,2,0,121681.8,120.25,120,1014.015
2017,Semenyih,DESA SRI HANECO,OFF JALAN SUNGAI LALANG,DETACHED PLOT - RESIDENTIAL USE,5005,48,240240,FREEHOLD,0 ftA2,7145.391958,1992.513231,NA,1808.810087,4981.943378,NA,380.6373371,1,5,2,1,0,2,0,121681.8,120.25,120,1014.015
2017,Semenyih,DESA SRI HANECO,OFF JALAN SUNGAI LALANG,DETACHED PLOT - RESIDENTIAL USE,5608,47,263184,FREEHOLD,0 ftA2,7145.391958,1992.513231,NA,1808.810087,4981.943378,NA,380.6373371,1,5,2,1,0,2,0,121681.8,120.25,120,1014.015
2017,Semenyih,DESA SRI HANECO,OFF JALAN SUNGAI LALANG,DETACHED PLOT - RESIDENTIAL USE,4004,48,192200,FREEHOLD,0 ftA2,7145.391958,1992.513231,NA,1808.810087,4981.943378,NA,380.6373371,1,5,2,1,0,2,0,121681.8,120.25,120,1014.015
2016,Semenyih,DESA SRI HANECO,OFF JALAN SUNGAI LALANG,DETACHED PLOT - RESIDENTIAL USE,4004,48,192200,FREEHOLD,0 ftA2,7145.391958,1992.513231,NA,1808.810087,4981.943378,NA,380.6373371,1,5,2,1,0,2,0,117999.3,116.18,120,983.3275
